"SERIALNO","RT","DIVISION","PUMA","REGION","ST","ADJHSG","ADJINC","WGTP","NP","TYPE","ACCESS","ACR","AGS","BATH","BDSP","BLD","BROADBND","BUS","COMPOTHX","CONP","DIALUP","DSL","ELEP","FIBEROP","FS","FULP","GASP","HANDHELD","HFL","INSP","LAPTOP","MHP","MODEM","MRGI","MRGP","MRGT","MRGX","OTHSVCEX","REFR","RMSP","RNTM","RNTP","RWAT","RWATPR","SATELLITE","SINK","SMP","STOV","TEL","TEN","TOIL","VACS","VALP","VEH","WATP","YBL","FES","FFINCP","FGRNTP","FHINCP","FINCP","FPARC","FPLMPRP","FSMOCP","GRNTP","GRPIP","HHL","HHT","HINCP","HOTWAT","HUGCL","HUPAC","HUPAOC","HUPARC","KIT","LNGI","MULTG","MV","NOC","NPF","NPP","BTUOTHER"
26,"H",2,2600,1,42,1000000,1001264,37,1,1,1,2,1,1,2,2,1,2,2,0,2,2,20,2,2,1000,3,1,4,0,2,0,2,0,0,0,0,2,1,5,2,500,1,9,2,1,0,1,1,3,1,0,0,2,2,6,0,0,1,1,0,0,0,0,603,16,1,4,45000,9,0,4,4,4,1,1,1,1,0,0,0,47651.818
31,"H",2,3403,1,42,1000000,1001264,206,3,1,1,1,0,1,2,2,2,2,2,0,2,2,230,2,1,2,2,2,1,0,1,0,1,0,0,0,0,2,1,5,2,800,1,9,2,1,0,1,1,3,1,0,0,1,1400,7,7,0,0,0,43300,4,0,0,1147,32,1,3,43300,9,0,4,4,4,1,1,2,3,0,3,0,-0.00100000000020373
35,"H",2,3603,1,42,1000000,1001264,30,2,1,1,1,0,1,4,2,1,2,2,0,2,2,290,2,2,2,40,1,1,1800,1,0,1,1,1600,1,1,2,1,7,0,0,1,9,2,1,130,1,1,1,1,0,232000,2,360,19,1,1,0,1,125000,4,0,0,0,0,1,1,125000,9,0,4,4,4,1,1,1,1,0,2,0,7.27595761418343e-12
44,"H",2,200,1,42,1000000,1001264,47,2,1,1,1,0,1,3,2,2,2,2,0,2,2,110,2,2,2,100,2,1,560,1,0,1,0,0,0,3,2,1,5,0,0,1,9,2,1,0,1,1,2,1,0,120000,3,980,3,4,0,0,0,96200,4,0,1,0,0,1,1,96200,9,0,4,4,4,1,1,1,6,0,2,0,3.63797880709171e-12
52,"H",2,1200,1,42,1000000,1001264,111,3,1,1,0,0,1,2,6,2,0,2,0,2,2,90,2,1,1,3,1,9,0,1,0,1,0,0,0,0,2,1,4,2,1100,1,9,2,1,0,1,1,3,1,0,0,0,1,3,1,0,0,0,20200,1,0,0,1190,71,1,1,20200,9,0,1,1,1,1,1,1,3,1,3,0,0
107,"H",2,1701,1,42,1000000,1001264,49,2,1,1,1,0,1,4,3,1,2,1,0,2,2,40,1,2,2,120,1,1,1400,1,0,2,1,2100,1,1,2,1,8,0,0,1,9,2,1,0,1,1,1,1,0,425000,2,840,1,1,0,0,0,265000,4,0,0,0,0,1,1,265000,9,0,4,4,4,1,1,1,4,0,2,0,0
171,"H",2,500,1,42,1000000,1001264,461,2,1,2,1,0,1,2,2,0,2,2,0,0,0,60,0,2,2,3,2,2,580,1,0,0,1,440,1,1,0,1,4,0,0,1,9,0,1,0,1,1,1,1,0,55000,1,2,3,4,1,0,1,36000,4,0,1,0,0,1,1,36000,9,0,4,4,4,1,1,1,4,0,2,0,0
177,"H",2,1200,1,42,1000000,1001264,80,4,1,1,3,1,1,3,2,2,2,2,0,2,1,240,2,2,2,3,1,3,490,1,0,2,2,1100,2,1,2,1,6,0,0,1,9,2,1,0,1,1,1,1,0,210000,3,2,8,1,0,0,0,108000,2,0,0,0,0,2,1,108000,9,0,2,2,2,1,1,1,5,2,4,0,0
206,"H",2,1900,1,42,1000000,1001264,76,1,1,3,1,0,1,3,3,0,2,2,0,0,0,50,0,2,2,40,2,1,0,2,0,0,0,0,0,0,0,1,6,0,0,1,9,0,1,0,1,1,4,1,0,0,1,30,2,0,0,0,0,0,0,0,0,0,0,1,6,19000,9,0,4,4,4,1,1,1,6,0,0,0,-1.45519152283669e-11
208,"H",2,2002,1,42,1000000,1001264,80,1,1,3,0,0,1,1,9,0,0,2,0,0,0,70,0,1,2,3,2,3,0,2,0,0,0,0,0,0,0,1,3,2,290,1,9,0,1,0,1,1,3,1,0,0,1,2,6,0,0,0,0,0,0,0,0,360,29,1,4,14900,9,0,4,4,4,1,1,1,4,0,0,0,0
